ID,Item,Product Information,Current Stock,Selling Price,Expiry Date
GH-000145,WOKALI PAPAYA LOTION,whitening and nourishing lightweight lotion made from papaya extracts,1,GHC39.00,08-2024
GH-000146,WOKALI PAPAYA CREAM 240G,"smoothing, whitening and nourishing body butter made from carefully handpicked fruit petals",1,GHC39.00,07-2024
GH-000147,KARIS BODY & FACE SCRUB 300ML APRICOT GENTLE MOSTURIZING ,"GIves soft exfoliation to remove dirt and other impurities for fresh clear skin with an illuminating glow. Makes skin supple, shiny smooth and bursting with radiance.",1,GHC18.00,06-2022
GH-000148,KARIS BODY & FACE SCRUB 300ML GREEN TEA ANTI-AGEING,"Gives soft exfoliation to remove dirt and other impurities for fresh clear skin with an illuminating glow. Makes skin supple, shiny smooth and bursting with radiance.",1,GHC18.00,06-2022
GH-000149,KARIS BODY & FACE SCRUB 300ML GOLD PERFECT GLOW,"Gives soft exfoliation to remove dirt and other impurities for fresh clear skin with an illuminating glow. Makes skin supple, shiny smooth and bursting with radiance.",2,GHC18.00,06-2022
GH-000149,NIVEA DEO SPRAY DRY IMPACT  150ML,"NIVEA Deodorant “Dry Comfort Plus” – gives you extra anti-perspirant performance for a dry feeling and caring 48h protection against sweat and body odour. ... This unique “DryPlus system” gives you reliable, 48h protection against sweat and body odour.",1,GHC17.00,06-2022
GH-000150,POWER HOUSE ROLL ON  50ML CHROME INTENSE,"Power House offers maximum protection you can rely on, all day long. Our antiperspirants and deodorants are developed to meet different demands for men and women, responding to your body to keep you feeling confident and cool for up to 24 hours.",1,GHC7.00,9-2023
GH-000151,POWER HOUSE ROLL ON 50ML TITANIUM DRY,"Power House offers maximum protection you can rely on, all day long. Our antiperspirants and deodorants are developed to meet different demands for men and women, responding to your body to keep you feeling confident and cool for up to 24 hours.",1,GHC7.00,10-2023
GH-000152,POWER HOUSE ROLL ON 50ML RUBY CLASSIC,"Power House offers maximum protection you can rely on, all day long. Our antiperspirants and deodorants are developed to meet different demands for men and women, responding to your body to keep you feeling confident and cool for up to 24 hours.",2,GHC7.00,11-2023
GH-000156,EPIDERM CREAM B/S 30g,"Epiderm cream and lotion is a combination of betamethasone dipropionate, gentamicin, tolnaftate, and iodochlorhydroxyquinoline.
Healthcare professionals prescribe it to treat several skin conditions associated with inflammation and mixed bacterial and fungal infections. For example, eczema, seborrheic and contact dermatitis, psoriasis, ringworm, athlete’s foot, and skin itch.",3,GHC6.00,06-2022
GH-000163,DOVE BEAUTY CREAM BAR 100g,"While ordinary soaps can strip skin of essential moisture, Dove Beauty Bar has mild cleansers to effectively wash away dirt and germs and care beautifully. Made with our ¼ moisturizing cream, Dove Beauty Bar leaves your body, face and hands feeling soft, smooth, and radiant. You can see why we call it a Beauty Bar.",8,GHC8.00,NA
GH-000165,WHITE SECRET LOTION 300ML,White secret contains ingredients proven to enlighter your skin and remove blackheads and spots. Also contains vitamin E that treats pigmented skin and tashes. Prevents reappearance of dark tashes. Adopted to all skin types.,3,GHC18.00,01-2025
GH-000173,F&W  EXCLUSIVE WHITENIZER CREAM 50ML,"FAIR & WHITE SO WHITE: It has been designed for today's modern young women wanting to pamper and rejuvenate their skin. ... delicately smoothes skins texture, enhancing skins radiance. CLARIFY & MOISTURIZE: Clarifying and moisturizing body lotion formulated to lighten dark areas of the body.",1,GHC30.00,04-2022
GH-000175,MAYBELLINE FOUNDATION SUPERSTAY TRUE CARAMEL,"Foundation makeup is a liquid or powder face cosmetic that helps create an even, flawless skin tone and either a dewy or matte texture. ... Fit Me Matte + Poreless Foundation happens to be the best foundation for oily skin too as its clay-infused formula with micro-powders controls shine and blurs pores.",1,GHC90.00,NA
GH-000176,TEA TREE OIL 30ML,"Tea tree oil is distilled from the leaves of the Melaleuca alternifolia plant, found in Australia. The oil possesses antibacterial, anti-inflammatory, antiviral, and antifungal properties. A person can treat acne, athlete's foot, contact dermatitis or head lice using tea tree oil.",4,GHC22.00,NA
GH-000178,TEA TREE FACE SCRUB 250ML,"Our Tea Tree Squeaky-Clean Scrub is a gentle daily facial exfoliator for blemished skin. Enriched with Community Trade Tea Tree Oil, the scrub gently buffs the skin's surface to remove impurities and dead skin cells. Skin is left feeling smoother, appearing clearer and shine-free.",9,GHC19.00,NA
GH-000179,GLADE AIR FRESHNER,"Glade Room Spray Air Fresheners eliminate odors and freshen the air, making your home uniquely inviting for all. Each is infused with essential oil extracts and comes in a variety of fragrances, ensuring yours will always be an open home.",2,GHC15.00,NA
GH-000181,LISTERINE TOTAL CARE 250ML,"Reduces plaque, maintains healthy gums, strengthens teeth against decay, prevents tartar to help keep teeth naturally white, kills up to 99.9% oral bacteria in lab tests and provides up to 24 hour breath protection",2,GHC25.00,NA
GH-000182,ST IVES SCRUB,"DEEP CLEAN WITH NATURAL EXFOLIANTS: This delicious face scrub is made with 100% natural walnut shell powder and apricot extracts to remove impurities for fresh, beautiful, glowing skin. ... Ives face scrubs are made with 100% natural exfoliants to even skin tone and leave skin clear, soft, and glowing.",3,GHC28.00,NA
GH-0000350,BEAUTY FORMULAS ARGAN OIL CLEANSING FACIAL WIPES (30 WIPES0,Helps cleanses your face by removing make up excess dirt and other impurities. Specially formulated with argan oil to help hydrate your skin helping you feel refreshed. Suitable for everyday use.,2,GHC15.00,NA
GH-000187,BEAUTY FORMULA ACTIVATED CHARCOAL FACIAL WIPES (25 WIPES),Helps remove build up oils and other impurities. Leaves you feeling clean and refreshed. 25 wipes,1,GHC15.00,NA
GH-000188,FEMFRESH WASH 250ML,This gentle daily wash has been specially formulated to cleanse intimate skin whilst helping maintain a healthy pH-balance. The low pH of the intimate area helps to protect against irritation and this can be upset by ordinary washes and shower gels.,4,GHC32.00,NA
GH-000189,FEMFRESH WASH 150ML,This gentle daily wash has been specially formulated to cleanse intimate skin whilst helping maintain a healthy pH-balance. The low pH of the intimate area helps to protect against irritation and this can be upset by ordinary washes and shower gels.,5,GHC19.00,NA
GH-000190,CHARCOAL MOUTHWASH,"Say hello to naturally friendly activated charcoal extra freshening mouthwash. Thoughtfully formulated with activated charcoal (made from sustainable bamboo), coconut oil to moisturize, tea tree oil to cleanse, fresh mint to freshen breath, and xylitol because it rocks.",3,GHC16.00,NA
GH-000194,IRISH SPRING BATH GEL 532ML,Picture yourself being hydrated by a raging waterfall... Irish Spring Moisture Blast body wash is kinda like that. Only fresher.,1,GHC29.50,NA
GH-000195,NIVEA MEN SHOWER GEL 500ML SENSITIVE,For men who want the ultimate energising skin care experience. The energising formula with masculine scent gives your skin a long-lasting fresh feeling. Leaves skin and hair feeling its best. Avoid contact with eye area.,1,GHC25.00,NA
GH-000196,CAREX SHOWER GEL 500ML SENSITIVE,"Cleans, cares and protects you and your family's skin, helping to leave it feeling soft, smooth and conditioned. Miantains the natutral pH balance of the skin. Light refreshing fragrance.",2,GHC16.00,NA
GH-000197,CAREX SHOWER GEL 500 ML ORIGINAL,"Cleans, cares and protects you and your family's skin, helping to leave it feeling soft, smooth and conditioned. Miantains the natutral pH balance of the skin. Light refreshing fragrance.",1,GHC16.00,NA
GH-000202,GOT 2B GLUED YELLOW 50ML,This water resistant spiking glue delivers hold so strong your style will last until your next shampoo. Push through hair to put it in place. Nothing is moving here!,2,GHC35.00,NA
GH-000208,SEBAMED CLEANSING BAR (BABY) 100G,"The Sebamed Baby Cleansing Bar provides 100% soap-free, mild cleansing of baby's delicate skin, making it smooth and soft and minimizing the risk of dryness and irritation. It increases the ability of baby skin to resist environmental stressors. As with the rest of our baby skin care products, our Baby Cleansing Bar supports the development of the acid mantle. This product is free of formaldehyde, nitrosamines, dioxan, and color additives and is arguably one of the most favored and best baby washes for newborns.",1,GHC29.00,09-2022
GH-000212,100%ACTIVATED CHARCOAL  NATURAL TEETH WHITENING 30G,"Teeth powder using natural organic ingredients without adding preservatives,while brighten and whiten teeth, it can also absorb oral odor and fresh breath.",1,GHC19.00,NA
GH-000224,CLERE COCOA BUTTER LOTION 400ML,"For generations, Clere has been trusted to leave skin soft, smooth and beautiful. Enriched with Glycerine and Vitamins E & A, Clere will help keep your skin moisturised and younger looking. You can trust Clere to care for your and your family's skin.",2,GHC16.00,09-2022
GH-000228,SPORTIN WAVES 99.2g,"Restores moisture, goes on light and easy, and rinse out clean. They are formulated for shorter hairstyles and wavy hair. WAVEMAKING: Sportin' Waves is the perfect men styling product for short and brushable hair. For maximum wavemaking formula that doesn't weight hair down.",1,GHC24.00,NA
GH-000229,STYLE UP HAIR CREAM 80ML,"Style Up Hair Pomade sculpt and holds the coolest styles allowing for remarkable shape, texture and control. Ideal for straight or curly hair to enhance its natural features.
Direction of use: Heat up in hands and control your style either wet or dry.",1,GHC10.00,NA
GH-000230,SULFUR-8 PLUS HAIR POMADE 90G,"Sulfur 8 Treatment (old Medicated) H/S conditioner moisturizes and softens dry hair and scalp an beautfiles the hair. Makes hair more manageable and adds sheen. Ideal for natural, pressed and relaxed hair. For the relief of dandruff and dry, itching and faking scalp associated with dandruff.",2,GHC8.00,NA
GH-000231,BELLA LOTION B/S 1L,"Soothes and softens hans, face and body. A blend of natural cocoa butter and pure lanolin in a non greasy moisturizing base helps and protects skin from  the sun and prevents dry and wrinkles.",2,GHC19.00,01-2024
GH-000232,BELLA LOTION S/S 300ml,"Soothes and softens hans, face and body. A blend of natural cocoa butter and pure lanolin in a non greasy moisturizing base helps and protects skin from  the sun and prevents dry and wrinkles.",1,GHC8.00,11-2023
